,GESLACHT,LEEFTIJDSKLASSE,mean,p2_5,p50,p97_5
0,M, 0 t/m  4 jaar,"102,72036184452078","48,97052458068871","95,06978435991319","197,7851705717814"
1,M, 5 t/m  9 jaar,"56,33496649901848","28,584115865394644","50,415310743142456","106,92667583561477"
2,M,10 t/m 14 jaar,"70,27557199462318","35,364179959718115","61,97563625919062","165,6774801726284"
3,M,15 t/m 19 jaar,"72,99522338528942","37,62413144047258","63,173105936799466","169,5762690735167"
4,M,20 t/m 24 jaar,"72,22915335967497","34,09024391064858","61,86958228592743","154,29131831904002"
5,M,25 t/m 29 jaar,"89,73979428500674","38,637996044951706","78,49104928924592","208,67392012481343"
6,M,30 t/m 34 jaar,"105,29772440148494","44,37261297962459","98,20770674182815","227,34305047195087"
7,M,35 t/m 39 jaar,"131,4236801294621","61,88529392294258","119,58953665394827","280,7472573511494"
8,M,40 t/m 44 jaar,"161,32518708433375","75,93255255455574","151,55759644325298","301,69564539728276"
9,M,45 t/m 49 jaar,"196,80178403683112","109,07192173702629","185,71923980802885","357,73690044736315"
10,M,50 t/m 54 jaar,"251,6272696877228","139,12738304225874","238,6347183914438","444,04775827699643"
11,M,55 t/m 59 jaar,"322,52614557014044","200,30244104463628","308,04821971778046","515,2063223104243"
12,M,60 t/m 64 jaar,"406,5519526943259","277,73942697591883","394,326032960058","618,4603398373205"
13,M,65 t/m 69 jaar,"490,23350718206837","352,5749675267515","484,91102420997413","660,7002465836898"
14,M,70 t/m 74 jaar,"606,6185789489842","433,22438901190355","601,6347423881166","807,9455931487162"
15,M,75 t/m 79 jaar,"734,8599924829834","543,885729209252","723,0707324157397","984,1293517496551"
16,M,80 t/m 84 jaar,"843,564077196715","640,4976883322271","840,1250510670584","1056,5451465174133"
17,M,85 t/m 89 jaar,"935,7874645686178","709,5980013814549","914,484358990404","1312,399313231872"
18,M,90+,"948,2886675932482","635,8441119745146","939,8061696473461","1295,438887570547"
19,V, 0 t/m  4 jaar,"86,27618957588729","34,65079738311805","79,64515255483381","174,130350256752"
20,V, 5 t/m  9 jaar,"46,69018262858524","20,845692201091357","41,3089914397385","101,38264978504901"
21,V,10 t/m 14 jaar,"53,450915462337356","24,520446092690186","45,79345233475074","137,16006286258934"
22,V,15 t/m 19 jaar,"92,42979154167773","56,21928021446449","81,83893269105496","215,16865686569497"
23,V,20 t/m 24 jaar,"104,24812961496063","62,35047777726652","94,80045644583373","208,6179610131575"
24,V,25 t/m 29 jaar,"122,67383308046115","62,238858362676396","106,02764253623498","317,19038870159966"
25,V,30 t/m 34 jaar,"147,801680790892","75,94416887656456","133,73598678737264","275,526629467618"
26,V,35 t/m 39 jaar,"173,01267709852996","88,71046273199028","163,3011744563627","321,8376945644408"
27,V,40 t/m 44 jaar,"198,37134858774922","100,14602408723778","189,3299931108902","350,91295304723155"
28,V,45 t/m 49 jaar,"230,74122284143576","133,59642355116821","221,21469570587453","366,7312573563628"
29,V,50 t/m 54 jaar,"271,251606879551","160,95560704888175","259,7092000294215","423,69204198873206"
30,V,55 t/m 59 jaar,"323,3967049116669","203,65113180787554","319,4626818961922","479,7589090135699"
31,V,60 t/m 64 jaar,"377,76359734654744","253,1354324241451","373,23250304344253","538,2446800508343"
32,V,65 t/m 69 jaar,"445,81538482423196","299,10339231643445","440,7673632779128","609,388355923955"
33,V,70 t/m 74 jaar,"544,6308454955584","398,1696349752367","539,169892643097","748,6356429183426"
34,V,75 t/m 79 jaar,"656,6465580548127","465,8764982048581","659,3550916061236","843,0570197481461"
35,V,80 t/m 84 jaar,"777,0837756097151","584,7206543040288","768,9820810673116","1007,6571428307298"
36,V,85 t/m 89 jaar,"853,464032048208","659,8342785525747","844,7154251335566","1106,7597007881718"
37,V,90+,"845,8919157861166","586,8824327869474","837,0958249626353","1118,9698189124015"
