GEMEENTENAAM,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN
KOGGENLAND,"199,45311051044527"
URK,"202,19504268340492"
BRUNSSUM,"337,27941248483614"
NOORD-BEVELAND,"340,84181086867676"
STADSKANAAL,"340,8676666938359"
RIJSWIJK,"341,5355099397947"
NUTH,"348,2307888651893"
HALDERBERGE,"348,41275010078107"
KERKRADE,"352,71190039501647"
SITTARD-GELEEN,"352,7224828572787"
OLDAMBT,"353,982908502655"
APPINGEDAM,"355,32589619243277"
MAASTRICHT,"355,4062583083594"
PEKELA,"356,18972092881995"
ZANDVOORT,"357,8143045021632"
DELFZIJL,"363,29401793873444"
MEERSSEN,"366,07758220095815"
HEERLEN,"370,0745740538473"
VAALS,"377,3422006327782"
RUCPHEN,"384,77043035370696"
